sampleId	analysising	hasAnalysis	fristAudit	secondAudit	terminate
2016-06-34-3	0	0	0	13	0
2016-06-34-4	0	0	0	13	0
2016-06-34-5	0	0	0	13	0
2016-06-34-6	0	0	0	13	0
2016-06-34-7	0	0	0	13	0
2016-06-34-8	0	0	0	13	0
2016-06-34-9	0	0	0	13	0
2016-06-35-1	0	0	0	2	0
2016-06-35-10	0	0	0	13	0
2016-06-35-11	0	0	0	2	0
2016-06-35-12	0	0	0	2	0
2016-06-35-2	0	0	0	13	0
2016-06-35-3	0	0	0	13	0
2016-06-35-4	0	0	0	13	0
2016-06-35-5	0	0	0	13	0
2016-06-35-6	0	0	0	13	0
2016-06-35-7	0	0	0	13	0
2016-06-35-8	0	0	0	13	0
2016-06-35-9	0	0	0	13	0
2016-06-36-1	0	0	0	2	0
2016-06-36-11	0	0	0	2	0
2016-06-36-12	0	0	0	2	0
2016-06-37-1	0	0	0	3	0
2016-06-37-11	0	0	0	2	0
2016-06-37-12	0	0	0	2	0
2016-06-37-2	0	0	0	13	0
2016-06-37-3	0	0	0	13	0
2016-06-37-4	0	0	0	13	0
2016-06-37-5	0	0	0	13	0
2016-06-37-6	0	0	0	13	0
2016-06-37-7	0	0	0	13	0
2017	0	0	0	8	0
2018	0	0	0	6	0
2019	0	0	0	6	0
2020	0	0	0	12	0
2021	0	0	0	8	0
2022	0	0	0	6	0
2023	0	0	0	8	0
20A	0	0	0	29	0
20B	0	0	0	42	0
3004	0	0	0	8	0
3005	0	0	0	8	0
3006	0	0	0	8	0
3009	0	0	0	6	0
3010	0	0	0	6	0
3012	0	0	0	8	0
3013	0	0	0	6	0
3014	0	0	0	6	0
3015	0	0	0	6	0
3016	0	0	0	6	0
3018	0	0	0	6	0
3019	0	0	0	6	0
3020	0	0	0	6	0
3021	0	0	0	6	0
3022	0	0	0	6	0
3024	0	0	0	6	0
3025	0	0	0	6	0
3026	0	0	0	6	0
3027	0	0	0	6	0
3029	0	0	0	8	0
3030	0	0	0	6	0
3031	0	0	0	6	0
3034	0	0	0	6	0
3035	0	0	0	6	0
3037	0	0	0	8	0
3039	0	0	0	8	0
3040	0	0	0	6	0
3043	0	0	0	6	0
3044	0	0	0	6	0
3046	0	0	0	8	0
3047	0	0	0	6	0
3048	0	0	0	6	0
3049	0	0	0	6	0
3050	0	0	0	6	0
3051	0	0	0	6	0
3052	0	0	0	6	0
3053	0	0	0	6	0
3054	0	0	0	12	0
3055	0	0	0	6	0
3056	0	0	0	6	0
3057	0	0	0	6	0
3058	0	0	0	6	0
3060	0	0	0	8	0
3061	0	0	0	6	0
3062	0	0	0	8	0
3063	0	0	0	6	0
3064	0	0	0	6	0
3065	0	0	0	8	0
3066	0	0	0	6	0
3067	0	0	0	6	0
3068	0	0	0	6	0
3069	0	0	0	6	0
3070	0	0	0	6	0
3071	0	0	0	8	0
3072	0	0	0	6	0
3073	0	0	0	6	0
3074	0	0	0	6	0
3076	0	0	0	6	0
3077	0	0	0	8	0
3078	0	0	0	6	0
3079	0	0	0	6	0
3080	0	0	0	6	0
3081	0	0	0	6	0
3082	0	0	0	8	0
3083	0	0	0	8	0
30A	0	0	0	29	0
30B	0	0	0	84	0
30H	0	0	0	30	0
4001	0	0	0	8	0
4002	0	0	0	14	0
4003	0	0	0	14	0
4004	0	0	0	14	0
4005	0	0	0	12	0
4006	0	0	0	12	0
4008	0	0	0	6	0
4009	0	0	0	14	0
4010	0	0	0	12	0
4013	0	0	0	18	0
4015	0	0	0	20	0
4017	0	0	0	14	0
4018	0	0	0	12	0
4021	0	0	0	8	0
4023	0	0	0	12	0
4025	0	0	0	12	0
4027	0	0	0	12	0
4028	0	0	0	12	0
4031	0	0	0	12	0
4032	0	0	0	12	0
41A	0	0	0	29	0
41B	0	0	0	82	0
42A	0	0	0	29	0
42B	0	0	0	82	0
5001	0	0	0	6	0
5002	0	0	0	6	0
5004	0	0	0	8	0
5005	0	0	0	8	0
5006	0	0	0	6	0
5007	0	0	0	6	0
5008	0	0	0	6	0
